english_word,translation,difficulty_level
travel,путешествовать,BEGINNER
read,читать,BEGINNER
write,писать,BEGINNER
speak,говорить,BEGINNER
understand,понимать,BEGINNER
feel,чувствовать,BEGINNER
show,показывать,BEGINNER
bring,приносить,BEGINNER
leave,уходить/оставлять,BEGINNER
run,бежать,BEGINNER
walk,гулять/идти пешком,BEGINNER
swim,плавать,BEGINNER
sing,петь,BEGINNER
dance,танцевать,BEGINNER
draw,рисовать,BEGINNER
build,строить,BEGINNER
break,ломать,BEGINNER
sleep,спать,BEGINNER
eat,есть,BEGINNER
drink,пить,BEGINNER
cook,готовить,BEGINNER
love,любить,BEGINNER
hate,ненавидеть,BEGINNER
like,нравиться,BEGINNER
enjoy,наслаждаться,BEGINNER
hope,надеяться,BEGINNER
believe,верить,BEGINNER
think,думать,BEGINNER
know,знать,BEGINNER
mean,иметь в виду,BEGINNER
need,нуждаться,BEGINNER
want,хотеть,BEGINNER
can,мочь,BEGINNER
must,должен,BEGINNER
should,следует,BEGINNER
may,можно/может,BEGINNER
will,будет (будущее),BEGINNER
would,бы (условное),BEGINNER
could,мог бы,BEGINNER
able,способный,BEGINNER
always,всегда,BEGINNER
never,никогда,BEGINNER
sometimes,иногда,BEGINNER
often,часто,BEGINNER
usually,обычно,BEGINNER
rarely,редко,BEGINNER
already,уже,BEGINNER
yet,ещё,BEGINNER
still,всё ещё,BEGINNER
again,снова,BEGINNER
too,тоже/слишком,BEGINNER
very,очень,BEGINNER
really,действительно,BEGINNER
quite,довольно,BEGINNER
almost,почти,BEGINNER
enough,достаточно,BEGINNER
maybe,может быть,BEGINNER
perhaps,возможно,BEGINNER
certainly,определённо,BEGINNER
definitely,точно,BEGINNER
probably,вероятно,BEGINNER
